pendurar,penduro,pendura,penduramos,penduram
descobrir,descubro,descobre,descobrimos,descobrem
procurar,procuro,procura,procuramos,procuram
fofocar,fofoco,fofoca,fofocamos,fofocam
levantar,levanto,levanta,levantamos,levantam
deitar,deito,deita,deitamos,deitam
descer,desço,desce,descemos,descem
subir,subo,sobe,subimos,sobem
pedir,peço,pede,pedimos,pedem
mandar,mando,manda,mandamos,mandam
ouvir,ouço,ouve,ouvimos,ouvem
escutar,escuto,escuta,escutamos,escutam
importar,importo,importa,importamos,importam
saborear,saboreio,saboreia,saboreamos,saboreiam
praticar,pratico,pratica,praticamos,praticam
tocar,toco,toca,tocamos,tocam
respeitar,respeito,respeita,respeitamos,respeitam
levar,levo,leva,levamos,levam
trazer,trago,traz,trazemos,trazem
achar,acho,acha,achamos,acham
dobrar,dobro,dobra,dobramos,dobram
embrulhar,embrulho,embrulha,embrulhamos,embrulham
significar,significo,significa,significamos,significam
trair,traio,trai,traímos,traem
vencer,venço,vence,vencemos,vencem
perder,perco,perde,perdemos,perdem
desenhar,desenho,desenha,desenhamos,desenham
apagar,apago,apaga,apagamos,apagam
desmaiar,desmaio,desmaia,desmaiamos,desmaiam
bater,bato,bate,batemos,batem
lavar,lavo,lava,lavamos,lavam
secar,seco,seca,secamos,secam
molhar,molho,molha,molhamos,molham
temperar,tempero,tempera,temperamos,temperam
arranhar,arranho,arranha,arranhamos,arranham
puxar,puxo,puxa,puxamos,puxam
empurrar,empurro,empurra,empurramos,empurram
escovar,escovo,escova,escovamos,escovam
arrepender,arrependo,arrepende,arrependemos,arrependem
revelar,revelo,revela,revelamos,revelam
contar,conto,conta,contamos,contam
cheirar,cheiro,cheira,cheiramos,cheiram
esquecer,esqueço,esquece,esquecemos,esquecem
confiar,confio,confia,confiamos,confiam
conferir,confiro,confere,conferimos,conferem
enviar,envio,envia,enviamos,enviam
receber,recebo,recebe,recebemos,recebem
voar,voo,voa,voamos,voam
nadar,nado,nada,nadamos,nadam
vomitar,vomito,vomita,vomitamos,vomitam
amarrar,amarro,amarra,amarramos,amarram
tirar,tiro,tira,tiramos,tiram
atirar,atiro,atira,atiramos,atiram
disparar,disparo,dispara,disparamos,disparam
arrastar,arrasto,arrasta,arrastamos,arrastam
pular,pulo,pula,pulamos,pulam
suar,suo,sua,suamos,suam
soar,soo,soa,soamos,soam
surgir,surjo,surge,surgimos,surgem
rechear,recheio,recheia,recheamos,recheiam
temer,temo,teme,tememos,temem
acender,acendo,acende,acendemos,acendem
rasgar,rasgo,rasga,rasgamos,rasgam
furar,furo,fura,furamos,furam
mastigar,mastigo,mastiga,mastigamos,mastigam
cochilar,cochilo,cochila,cochilamos,cochilam
roncar,ronco,ronca,roncamos,roncam
magoar,magoo,magoa,magoamos,magoam
chatear,chateio,chateia,chateamos,chateiam
guardar,guardo,guarda,guardamos,guardam
relembrar,relembro,relembra,relembramos,relembram
lembrar,lembro,lembra,lembramos,lembram
estender,estendo,estende,estendemos,estendem
esticar,estico,estica,esticamos,esticam
machucar,machuco,machuca,machucamos,machucam
fumar,fumo,fuma,fumamos,fumam
aspirar,aspiro,aspira,aspiramos,aspiram
cuspir,cuspo,cospe,cuspimos,cospem
engolir,engulo,engole,engolimos,engolem
espirrar,espirro,espirra,espirramos,espirram
medir,meço,mede,medimos,medem
costurar,costuro,costura,costuramos,costuram
esquentar,esquento,esquenta,esquentamos,esquentam
aquecer,aqueço,aquece,aquecemos,aquecem
esfriar,esfrio,esfria,esfriamos,esfriam
resfriar,resfrio,resfria,resfriamos,resfriam
girar,giro,gira,giramos,giram
descascar,descasco,descasca,descascamos,descascam
dever,devo,deve,devemos,devem
apertar,aperto,aperta,apertamos,apertam
cortar,corto,corta,cortamos,cortam
tremer,tremo,treme,trememos,tremem
sentir,sinto,sente,sentimos,sentem
gostar,gosto,gosta,gostamos,gostam
decorar,decoro,decora,decoramos,decoram
miar,mio,mia,miamos,miam
latir,lates,latimos,latis,latia
arrotar,arroto,arrota,arrotamos,arrotam
morder,mordo,morde,mordemos,mordem
lamber,lambo,lambe,lambemos,lambem
decidir,decido,decide,decidimos,decidem
dividir,divido,divide,dividimos,dividem
desistir,desisto,desiste,desistimos,desistem
derrubar,derrubo,derruba,derrubamos,derrubam
derramar,derramo,derrama,derramamos,derramam
reclamar,reclamo,reclama,reclamamos,reclamam
botar,boto,bota,botamos,botam
p�r,ponho,põe,pomos,põem
destruir,destruo,destrói,destruímos,destroem
identificar,identifico,identifica,identificamos,identificam
embaralhar,embaralho,embaralha,embaralhamos,embaralham
derreter,derreto,derrete,derretemos,derretem
esmagar,esmago,esmaga,esmagamos,esmagam
escorrer,escorro,escorre,escorremos,escorrem
gotejar,gotejo,goteja,gotejamos,gotejam
decepcionar,decepciono,decepciona,decepcionamos,decepcionam
exercitar,exercito,exercita,exercitamos,exercitam
embalar,embalo,embala,embalamos,embalam
xingar,xingo,xinga,xingamos,xingam
jurar,juro,jura,juramos,juram
assar,asso,assa,assamos,assam
fritar,frito,frita,fritamos,fritam
vestir,visto,veste,vestimos,vestem
sentir,sinto,sente,sentimos,sentem
queixar,queixo,queixa,queixamos,queixam
adicionar,adiciono,adiciona,adicionamos,adicionam
juntar,junto,junta,juntamos,juntam
resolver,resolvo,resolve,resolvemos,resolvem
sumir,sumo,some,sumimos,somem
desaparecer,desapareço,desaparece,desaparecemos,desaparecem
realizar,realizo,realiza,realizamos,realizam
perceber,percebo,percebe,percebemos,percebem
esconder,escondo,esconde,escondemos,escondem
martelar,martelo,martela,martelamos,martelam
desconfiar,desconfio,desconfia,desconfiamos,desconfiam
aumentar,aumento,aumenta,aumentamos,aumentam
diminuir,diminuo,diminui,diminuímos,diminuem
pisar,piso,pisa,pisamos,pisam
alagar,alago,alaga,alagamos,alagam
incendiar,incendeio,incendeia,incendiamos,incendeiam
aguentar,aguento,aguenta,aguentamos,aguentam
adiantar,adianto,adianta,adiantamos,adiantam
medicar,medico,medica,medicamos,medicam
tratar,trato,trata,tratamos,tratam
desmoronar,desmorono,desmorona,desmoronamos,desmoronam
desmembrar,desmembro,desmembra,desmembramos,desmembram
demolir,demoles,demolimos,demolis,demolia
assoviar,assovio,assovia,assoviamos,assoviam
digitar,digito,digita,digitamos,digitam
incomodar,incomodo,incomoda,incomodamos,incomodam
revisar,reviso,revisa,revisamos,revisam
boiar,boio,boia,boiamos,boiam
cobrar,cobro,cobra,cobramos,cobram
fingir,finjo,finge,fingimos,fingem
montar,monto,monta,montamos,montam
desmontar,desmonto,desmonta,desmontamos,desmontam
rezar,rezo,reza,rezamos,rezam
sorrir,sorrio,sorri,sorrimos,sorriem
amassar,amasso,amassa,amassamos,amassam
inventar,invento,inventa,inventamos,inventam
investir,invisto,investe,investimos,investem
emprestar,empresto,empresta,emprestamos,emprestam
salvar,salvo,salva,salvamos,salvam
depositar,deposito,deposita,depositamos,depositam
nascer,nasço,nasce,nascemos,nascem
