pendurar,pendurei,pendurou,penduramos,penduraram
descobrir,descobri,descobriu,descobrimos,descobriram
procurar,procurei,procurou,procuramos,procuraram
fofocar,fofoquei,fofocou,fofocamos,fofocaram
levantar,levantei,levantou,levantamos,levantaram
deitar,deitei,deitou,deitamos,deitaram
descer,desci,desceu,descemos,desceram
subir,subi,subiu,subimos,subiram
pedir,pedi,pediu,pedimos,pediram
mandar,mandei,mandou,mandamos,mandaram
ouvir,ouvi,ouviu,ouvimos,ouviram
escutar,escutei,escutou,escutamos,escutaram
importar,importei,importou,importamos,importaram
saborear,saboreei,saboreou,saboreamos,saborearam
praticar,pratiquei,praticou,praticamos,praticaram
tocar,toquei,tocou,tocamos,tocaram
respeitar,respeitei,respeitou,respeitamos,respeitaram
levar,levei,levou,levamos,levaram
trazer,trouxe,trouxe,trouxemos,trouxeram
achar,achei,achou,achamos,acharam
dobrar,dobrei,dobrou,dobramos,dobraram
embrulhar,embrulhei,embrulhou,embrulhamos,embrulharam
significar,signifiquei,significou,significamos,significaram
trair,traÃ­,traiu,traÃ­mos,traÃ­ram
vencer,venci,venceu,vencemos,venceram
perder,perdi,perdeu,perdemos,perderam
desenhar,desenhei,desenhou,desenhamos,desenharam
apagar,apaguei,apagou,apagamos,apagaram
desmaiar,desmaiei,desmaiou,desmaiamos,desmaiaram
bater,bati,bateu,batemos,bateram
lavar,lavei,lavou,lavamos,lavaram
secar,sequei,secou,secamos,secaram
molhar,molhei,molhou,molhamos,molharam
temperar,temperei,temperou,temperamos,temperaram
arranhar,arranhei,arranhou,arranhamos,arranharam
puxar,puxei,puxou,puxamos,puxaram
empurrar,empurrei,empurrou,empurramos,empurraram
escovar,escovei,escovou,escovamos,escovaram
arrepender,arrependi,arrependeu,arrependemos,arrependeram
revelar,revelei,revelou,revelamos,revelaram
contar,contei,contou,contamos,contaram
cheirar,cheirei,cheirou,cheiramos,cheiraram
esquecer,esqueci,esqueceu,esquecemos,esqueceram
confiar,confiei,confiou,confiamos,confiaram
conferir,conferi,conferiu,conferimos,conferiram
enviar,enviei,enviou,enviamos,enviaram
receber,recebi,recebeu,recebemos,receberam
voar,voei,voou,voamos,voaram
nadar,nadei,nadou,nadamos,nadaram
vomitar,vomitei,vomitou,vomitamos,vomitaram
amarrar,amarrei,amarrou,amarramos,amarraram
tirar,tirei,tirou,tiramos,tiraram
atirar,atirei,atirou,atiramos,atiraram
disparar,disparei,disparou,disparamos,dispararam
arrastar,arrastei,arrastou,arrastamos,arrastaram
pular,pulei,pulou,pulamos,pularam
suar,suei,suou,suamos,suaram
soar,soei,soou,soamos,soaram
surgir,surgi,surgiu,surgimos,surgiram
rechear,recheei,recheou,recheamos,rechearam
temer,temi,temeu,tememos,temeram
acender,acendi,acendeu,acendemos,acenderam
rasgar,rasguei,rasgou,rasgamos,rasgaram
furar,furei,furou,furamos,furaram
mastigar,mastiguei,mastigou,mastigamos,mastigaram
cochilar,cochilei,cochilou,cochilamos,cochilaram
roncar,ronquei,roncou,roncamos,roncaram
magoar,magoei,magoou,magoamos,magoaram
chatear,chateei,chateou,chateamos,chatearam
guardar,guardei,guardou,guardamos,guardaram
relembrar,relembrei,relembrou,relembramos,relembraram
lembrar,lembrei,lembrou,lembramos,lembraram
estender,estendi,estendeu,estendemos,estenderam
esticar,estiquei,esticou,esticamos,esticaram
machucar,machuquei,machucou,machucamos,machucaram
fumar,fumei,fumou,fumamos,fumaram
aspirar,aspirei,aspirou,aspiramos,aspiraram
cuspir,cuspi,cuspiu,cuspimos,cuspiram
engolir,engoli,engoliu,engolimos,engoliram
espirrar,espirrei,espirrou,espirramos,espirraram
medir,medi,mediu,medimos,mediram
costurar,costurei,costurou,costuramos,costuraram
esquentar,esquentei,esquentou,esquentamos,esquentaram
aquecer,aqueci,aqueceu,aquecemos,aqueceram
esfriar,esfriei,esfriou,esfriamos,esfriaram
resfriar,resfriei,resfriou,resfriamos,resfriaram
girar,girei,girou,giramos,giraram
descascar,descasquei,descascou,descascamos,descascaram
dever,devi,deveu,devemos,deveram
apertar,apertei,apertou,apertamos,apertaram
cortar,cortei,cortou,cortamos,cortaram
tremer,tremi,tremeu,trememos,tremeram
sentir,senti,sentiu,sentimos,sentiram
gostar,gostei,gostou,gostamos,gostaram
decorar,decorei,decorou,decoramos,decoraram
miar,miei,miou,miamos,miaram
latir,latiste,latimos,latistes,latira
arrotar,arrotei,arrotou,arrotamos,arrotaram
morder,mordi,mordeu,mordemos,morderam
lamber,lambi,lambeu,lambemos,lamberam
decidir,decidi,decidiu,decidimos,decidiram
dividir,dividi,dividiu,dividimos,dividiram
desistir,desisti,desistiu,desistimos,desistiram
derrubar,derrubei,derrubou,derrubamos,derrubaram
derramar,derramei,derramou,derramamos,derramaram
reclamar,reclamei,reclamou,reclamamos,reclamaram
botar,botei,botou,botamos,botaram
pã´r,pus,pÃ´s,pusemos,puseram
destruir,destruÃ­,destruiu,destruÃ­mos,destruÃ­ram
identificar,identifiquei,identificou,identificamos,identificaram
embaralhar,embaralhei,embaralhou,embaralhamos,embaralharam
derreter,derreti,derreteu,derretemos,derreteram
esmagar,esmaguei,esmagou,esmagamos,esmagaram
escorrer,escorri,escorreu,escorremos,escorreram
gotejar,gotejei,gotejou,gotejamos,gotejaram
decepcionar,decepcionei,decepcionou,decepcionamos,decepcionaram
exercitar,exercitei,exercitou,exercitamos,exercitaram
embalar,embalei,embalou,embalamos,embalaram
xingar,xinguei,xingou,xingamos,xingaram
jurar,jurei,jurou,juramos,juraram
assar,assei,assou,assamos,assaram
fritar,fritei,fritou,fritamos,fritaram
vestir,vesti,vestiu,vestimos,vestiram
sentir,senti,sentiu,sentimos,sentiram
queixar,queixei,queixou,queixamos,queixaram
adicionar,adicionei,adicionou,adicionamos,adicionaram
juntar,juntei,juntou,juntamos,juntaram
resolver,resolvi,resolveu,resolvemos,resolveram
sumir,sumi,sumiu,sumimos,sumiram
desaparecer,desapareci,desapareceu,desaparecemos,desapareceram
realizar,realizei,realizou,realizamos,realizaram
perceber,percebi,percebeu,percebemos,perceberam
esconder,escondi,escondeu,escondemos,esconderam
martelar,martelei,martelou,martelamos,martelaram
desconfiar,desconfiei,desconfiou,desconfiamos,desconfiaram
aumentar,aumentei,aumentou,aumentamos,aumentaram
diminuir,diminuÃ­,diminuiu,diminuÃ­mos,diminuÃ­ram
pisar,pisei,pisou,pisamos,pisaram
alagar,alaguei,alagou,alagamos,alagaram
incendiar,incendiei,incendiou,incendiamos,incendiaram
aguentar,aguentei,aguentou,aguentamos,aguentaram
adiantar,adiantei,adiantou,adiantamos,adiantaram
medicar,mediquei,medicou,medicamos,medicaram
tratar,tratei,tratou,tratamos,trataram
desmoronar,desmoronei,desmoronou,desmoronamos,desmoronaram
desmembrar,desmembrei,desmembrou,desmembramos,desmembraram
demolir,demoliste,demolimos,demolistes,demolira
assoviar,assoviei,assoviou,assoviamos,assoviaram
digitar,digitei,digitou,digitamos,digitaram
incomodar,incomodei,incomodou,incomodamos,incomodaram
revisar,revisei,revisou,revisamos,revisaram
boiar,boiei,boiou,boiamos,boiaram
cobrar,cobrei,cobrou,cobramos,cobraram
fingir,fingi,fingiu,fingimos,fingiram
montar,montei,montou,montamos,montaram
desmontar,desmontei,desmontou,desmontamos,desmontaram
rezar,rezei,rezou,rezamos,rezaram
sorrir,sorri,sorriu,sorrimos,sorriram
amassar,amassei,amassou,amassamos,amassaram
inventar,inventei,inventou,inventamos,inventaram
investir,investi,investiu,investimos,investiram
emprestar,emprestei,emprestou,emprestamos,emprestaram
salvar,salvei,salvou,salvamos,salvaram
depositar,depositei,depositou,depositamos,depositaram
nascer,nasci,nasceu,nascemos,nasceram
mexer,mexi,mexeu,mexemos,mexeram
receber,recebi,recebeu,recebemos,receberam
reparar,reparei,reparou,reparamos,repararam
estourar,estourei,estourou,estouramos,estouraram
apoiar,apoiei,apoiou,apoiamos,apoiaram
aprovar,aprovei,aprovou,aprovamos,aprovaram
seguir,segui,seguiu,seguimos,seguiram
anotar,anotei,anotou,anotamos,anotaram
ralar,ralei,ralou,ralamos,ralaram
escorregar,escorreguei,escorregou,escorregamos,escorregaram
escorregar,escorreguei,escorregou,escorregamos,escorregaram
