ser,sou,é,somos,são
ir,vou,vai,vamos,vão
vir,venho,vem,vimos,vêm
ver,vejo,vê,vemos,veem
estar,estou,está,estamos,estão
poder,posso,pode,podemos,podem
comer,como,come,comemos,comem
trazer,trago,traz,trazemos,trazem
sair,saio,sai,saímos,saem
dar,dou,dá,damos,dão
querer,quero,quer,queremos,querem
estudar,estudo,estuda,estudamos,estudam
ler,leio,lê,lemos,leem
fazer,faço,faz,fazemos,fazem
estar,estou,está,estamos,estão
haver,hei,há,havemos,hão
partir,parto,parte,partimos,partem
cantar,canto,canta,cantamos,cantam
saber,sei,sabe,sabemos,sabem
